Id,WnvPresent
1,-3.9684968
2,-3.9684968
3,-3.9684968
4,-3.9684968
5,-3.9684968
6,-3.9684968
7,-3.9684968
8,-3.9684968
9,-4.061266
10,-4.061266
11,-4.061266
12,-4.061266
13,-4.061266
14,-4.061266
15,-4.061266
16,-4.061266
17,-3.954124
18,-3.954124
19,-3.954124
20,-3.954124
21,-3.954124
22,-3.954124
23,-3.954124
24,-3.954124
25,-3.7533789
26,-3.7533789
27,-3.7533789
28,-3.7533789
29,-3.7533789
30,-3.7533789
31,-3.7533789
32,-3.7533789
33,-4.440932
34,-4.440932
35,-4.440932
36,-4.440932
37,-4.440932
38,-4.440932
39,-4.440932
40,-4.440932
41,-4.3279223
42,-4.3279223
43,-4.3279223
44,-4.3279223
45,-4.3279223
46,-4.3279223
47,-4.3279223
48,-4.3279223
49,-4.440932
50,-4.440932
51,-4.440932
52,-4.440932
53,-4.440932
54,-4.440932
55,-4.440932
56,-4.440932
57,-4.1777906
58,-4.1777906
59,-4.1777906
60,-4.1777906
61,-4.1777906
62,-4.1777906
63,-4.1777906
64,-4.1777906
65,-3.8680723
66,-3.8680723
67,-3.8680723
68,-3.8680723
69,-3.8680723
70,-3.8680723
71,-3.8680723
72,-3.8680723
73,-3.4551384
74,-3.4551384
75,-3.4551384
76,-3.4551384
77,-3.4551384
78,-3.4551384
79,-3.4551384
80,-3.4551384
81,-4.3491025
82,-4.3491025
83,-4.3491025
84,-4.3491025
85,-4.3491025
86,-4.3491025
87,-4.3491025
88,-4.3491025
89,-3.3465562
90,-3.3465562
91,-3.3465562
92,-3.3465562
93,-3.3465562
94,-3.3465562
95,-3.3465562
96,-3.3465562
97,-3.505477
98,-3.505477
99,-3.505477
100,-3.505477
101,-3.505477
102,-3.505477
103,-3.505477
104,-3.505477
105,-4.0318074
106,-4.0318074
107,-4.0318074
108,-4.0318074
109,-4.0318074
110,-4.0318074
111,-4.0318074
112,-4.0318074
113,-4.079954
114,-4.079954
115,-4.079954
116,-4.079954
117,-4.079954
118,-4.079954
119,-4.079954
120,-4.079954
121,-3.922364
122,-3.922364
123,-3.922364
